fibreLength,fibreLengthNOR,activation,tendonLength,fibreVel,mtuLength
0.0490228,1.189296458,0.0386094,0.257916,-0.0292058,0.30365183
0.0488695,1.18557739,0.0387227,0.257858,-0.032129,0.30342953
0.0487019,1.181511402,0.0389472,0.257804,-0.0348754,0.30319563
0.0485212,1.177127608,0.0392727,0.257755,-0.0373936,0.30295293
0.0483286,1.172455119,0.0396896,0.257713,-0.0396112,0.30270462
0.0481259,1.167537603,0.0401891,0.257681,-0.0414407,0.30245424
0.0479152,1.162426007,0.0407644,0.257659,-0.0427944,0.30220556
0.0476991,1.157183406,0.0414101,0.257648,-0.0435929,0.30196257
0.0474804,1.151877729,0.0421226,0.25765,-0.0437836,0.3017293
0.0472625,1.14659146,0.0429011,0.257666,-0.0432962,0.30150976
0.0470491,1.141414362,0.0437475,0.257694,-0.0419677,0.30130782
0.0468441,1.136441048,0.0446647,0.257734,-0.0398912,0.30112713
0.0466511,1.131758855,0.0456604,0.257787,-0.0371746,0.30097095
0.0464731,1.127440563,0.0467441,0.25785,-0.0338924,0.30084213
0.0463129,1.1235541,0.0479344,0.257924,-0.030084,0.30074302
0.0461731,1.120162542,0.0492365,0.258008,-0.025743,0.30067537
0.0460563,1.117328967,0.050664,0.258099,-0.0209021,0.30064037
0.0459646,1.115104318,0.0522305,0.258197,-0.0156833,0.30063855
0.0458996,1.113527414,0.0539465,0.258298,-0.0102191,0.30066984
0.0458623,1.112622513,0.0558214,0.258403,-0.00464085,0.30073358
0.0458529,1.112394469,0.0578626,0.258508,0.000943802,0.30082855
0.0458714,1.11284328,0.0600664,0.258612,0.00645898,0.30095304
0.0459171,1.113951965,0.062423,0.258715,0.0118145,0.30110488
0.0459889,1.115693838,0.0649157,0.258813,0.0169215,0.30128159
0.0460855,1.118037361,0.0675258,0.258908,0.0216752,0.30148038
0.0462047,1.120929161,0.0702347,0.258997,0.0259794,0.30169828
0.0463442,1.12431344,0.0730272,0.25908,0.0297598,0.30193221
0.0465012,1.128122271,0.0758912,0.259157,0.0329682,0.30217907
0.0466728,1.132285298,0.0788175,0.259228,0.0355865,0.30243579
0.0468561,1.136732169,0.081799,0.259294,0.0376269,0.30269942
0.0470482,1.141392528,0.0848363,0.259354,0.039105,0.30296719
0.0472463,1.146198447,0.0879367,0.25941,0.0400423,0.30323653
0.0474478,1.151086851,0.0911141,0.259461,0.0404679,0.30350513
0.04765,1.155992237,0.0943894,0.259509,0.0403359,0.30377097
0.0478504,1.160853954,0.0977903,0.259555,0.03971,0.30403229
0.0480466,1.16561378,0.101351,0.259599,0.0386982,0.30428768
0.0482371,1.170235323,0.105102,0.259643,0.0373927,0.30453601
0.0484204,1.174682193,0.109074,0.259687,0.0358695,0.30477643
0.0485957,1.178934983,0.113292,0.25973,0.0341961,0.3050084
0.0487623,1.18297671,0.117777,0.259775,0.0324293,0.3052316
0.04892,1.186802523,0.122542,0.25982,0.0306203,0.30544594
0.0490687,1.190409995,0.127593,0.259866,0.0288155,0.30565155
0.0492083,1.193796701,0.13293,0.259914,0.0270535,0.3058487
0.0493394,1.196977196,0.138539,0.259962,0.0253734,0.3060378
0.0494624,1.199961184,0.144388,0.260012,0.023825,0.30621937
0.049578,1.202765648,0.150457,0.260063,0.0224309,0.30639398
0.0496871,1.205412421,0.156702,0.260115,0.0212154,0.30656225
0.0497905,1.207920912,0.163072,0.260167,0.0201935,0.30672483
0.0498894,1.210320233,0.169509,0.260219,0.0193706,0.30688233
0.0499846,1.212629791,0.175953,0.26027,0.0187415,0.30703534
0.0500771,1.214873848,0.182335,0.26032,0.0182949,0.30718441
0.0501677,1.21707181,0.188591,0.260369,0.0179768,0.30733002
0.0502568,1.219233382,0.194657,0.260416,0.0177252,0.30747258
0.0503449,1.221370694,0.200483,0.260462,0.0175138,0.30761247
0.050432,1.223483746,0.206028,0.260506,0.0173485,0.30774991
0.0505185,1.225582242,0.211265,0.260549,0.0172386,0.30788512
0.0506045,1.227668607,0.216172,0.260591,0.0171791,0.30801821
0.0506903,1.229750121,0.220737,0.26063,0.01716,0.30814925
0.0507761,1.231831635,0.224959,0.260668,0.017165,0.30827821
0.0508619,1.233913149,0.228845,0.260703,0.0171805,0.30840506
0.0509479,1.235999515,0.232413,0.260736,0.0171888,0.30852969
0.0510338,1.238083455,0.235681,0.260767,0.0171796,0.30865199
0.0511196,1.240164968,0.238673,0.260795,0.0171425,0.30877183
0.0512051,1.242239204,0.241414,0.260821,0.017069,0.30888906
0.0512902,1.244303736,0.243927,0.260845,0.0169537,0.30900352
0.0513746,1.246351286,0.246233,0.260867,0.0167964,0.3091151
0.0514581,1.248377001,0.248351,0.260886,0.0165981,0.30922367
0.0515405,1.250376031,0.250289,0.260904,0.0163637,0.30932914
0.0516217,1.252345949,0.25205,0.26092,0.0160998,0.30943143
0.0517015,1.254281902,0.253638,0.260934,0.0158126,0.30953049
0.0517798,1.256181465,0.255056,0.260947,0.0155061,0.30962629
0.0518565,1.258042213,0.256316,0.260958,0.0151826,0.30971883
0.0519316,1.259864144,0.257431,0.260967,0.0148428,0.30980813
0.0520049,1.261642407,0.258423,0.260975,0.0144841,0.3098942
0.0520764,1.263377001,0.259322,0.260982,0.0141036,0.30997709
0.0521459,1.265063076,0.260171,0.260988,0.0136928,0.3100568
0.0522132,1.266695779,0.261019,0.260993,0.0132447,0.31013337
0.0522782,1.268272683,0.261926,0.260997,0.0127488,0.31020679
0.0523406,1.269786511,0.262963,0.261001,0.0121951,0.31027705
0.0524,1.271227559,0.264204,0.261005,0.011573,0.3103441
0.0524562,1.272590975,0.265658,0.261009,0.0108989,0.31040787
0.0525088,1.273867055,0.267484,0.261014,0.0101316,0.31046827
0.0525574,1.275046094,0.269738,0.261019,0.00927627,0.31052514
0.0526015,1.276115963,0.272464,0.261026,0.00834039,0.31057832
0.0526407,1.277066958,0.275691,0.261033,0.00733544,0.31062762
0.0526747,1.2778918,0.279436,0.261042,0.00627161,0.3106728
0.0527034,1.278588064,0.283619,0.261053,0.00518366,0.3107136
0.0527265,1.279148472,0.28833,0.261064,0.00404499,0.31074974
0.0527438,1.279568171,0.293545,0.261077,0.00286916,0.31078092
0.0527552,1.279844736,0.299225,0.261091,0.00166766,0.31080681
0.0527605,1.279973314,0.305313,0.261106,0.000454779,0.31082707
0.0527598,1.279956332,0.311726,0.261121,-0.000757354,0.31084131
0.052753,1.279791363,0.318368,0.261136,-0.00195749,0.31084915
0.0527402,1.279480835,0.32517,0.26115,-0.00314786,0.31085015
0.0527215,1.279027171,0.331995,0.261164,-0.00431735,0.31084383
0.0526971,1.278435226,0.338752,0.261175,-0.00547096,0.31082969
0.0526668,1.277700146,0.345401,0.261185,-0.00662715,0.31080715
0.0526307,1.276824357,0.35191,0.261192,-0.00780457,0.31077557
0.0525887,1.275805434,0.358163,0.261195,-0.00900134,0.31073424
0.0525406,1.274638525,0.364118,0.261194,-0.0102363,0.31068236
0.0524862,1.273318777,0.369748,0.261189,-0.01153,0.31061903
0.0524251,1.271836487,0.375014,0.261178,-0.0128999,0.31054327
0.052357,1.270184377,0.379873,0.261161,-0.0143621,0.31045402
0.0522813,1.268347889,0.384274,0.261137,-0.0159338,0.31035006
0.0521974,1.26631247,0.388184,0.261106,-0.0176357,0.31023012
0.0521046,1.264061135,0.391651,0.261068,-0.0195032,0.31009283
0.0520021,1.261574478,0.394512,0.261021,-0.0215321,0.30993677
0.0518889,1.258828239,0.396792,0.260965,-0.023759,0.3097604
0.0517641,1.255800582,0.398406,0.260899,-0.0261976,0.30956223
0.0516265,1.252462397,0.399345,0.260824,-0.0288809,0.30934069
0.0514747,1.248779719,0.399614,0.260739,-0.0318437,0.30909423
0.0513074,1.244721009,0.399227,0.260644,-0.035124,0.30882137
0.0511228,1.240242601,0.398265,0.26054,-0.0387718,0.30852071
0.0509189,1.235295973,0.396697,0.260428,-0.0428247,0.30819095
0.0506938,1.229835032,0.394558,0.260308,-0.0472728,0.30783099
0.0504465,1.223835517,0.391876,0.260181,-0.0517666,0.30743997
0.0501767,1.21729015,0.388682,0.260046,-0.0562214,0.30701715
0.0498842,1.210194081,0.385023,0.259904,-0.0607762,0.30656222
0.0495682,1.202527899,0.38093,0.259755,-0.0655977,0.30607521
0.0492276,1.19426492,0.376444,0.259601,-0.0706716,0.30555652
0.0488612,1.185376031,0.371603,0.259444,-0.0759093,0.30500701
0.0484684,1.175846676,0.36645,0.259287,-0.081274,0.30442801
0.0480482,1.165652596,0.361019,0.259131,-0.0868132,0.30382139
0.0475998,1.154774381,0.355315,0.258982,-0.0925779,0.30318954
0.0471223,1.143190199,0.349407,0.258843,-0.098479,0.30253543
0.0466164,1.130917031,0.34332,0.258716,-0.103952,0.30186259
0.0460846,1.118015526,0.337096,0.258603,-0.108758,0.3011751
0.0455307,1.104577875,0.330727,0.258506,-0.11275,0.30047758
0.044959,1.090708394,0.324226,0.258424,-0.11582,0.29977513
0.0443745,1.076528384,0.317598,0.258359,-0.117867,0.29907333
0.0437824,1.062163998,0.310849,0.25831,-0.1188,0.29837808
0.0431886,1.04775837,0.303997,0.258277,-0.118553,0.2976956
0.042599,1.033454634,0.29704,0.258261,-0.117101,0.29703228
0.0420196,1.01939835,0.289988,0.25826,-0.114455,0.29639459
0.0414563,1.005732654,0.282849,0.258276,-0.110663,0.29578893
0.0409146,0.992590975,0.275647,0.258309,-0.105803,0.29522155
0.0403997,0.980099466,0.268412,0.258357,-0.0999787,0.29469834
0.0399161,0.968367297,0.261153,0.258422,-0.0932955,0.2942248
0.0394678,0.957491509,0.253882,0.258503,-0.0858584,0.29380581
0.0390584,0.947559437,0.246622,0.258601,-0.0777594,0.29344561
0.0386909,0.938643862,0.239396,0.258716,-0.0690776,0.29314763
0.0383683,0.930817564,0.232222,0.258846,-0.059882,0.29291446
0.0380926,0.924129064,0.225115,0.25899,-0.0502614,0.29274776
0.037866,0.918631732,0.218086,0.259146,-0.0402946,0.29264824
0.0376906,0.914376516,0.21114,0.259312,-0.0298285,0.29261565
0.0375694,0.911436196,0.204273,0.259482,-0.0186084,0.29264877
0.0375064,0.909907812,0.197473,0.25965,-0.00648296,0.29274551
0.0375062,0.90990296,0.19072,0.259808,0.00650709,0.29290292
0.0375724,0.911508976,0.184035,0.259947,0.0201263,0.29311732
0.0377076,0.914788937,0.177434,0.260061,0.0341144,0.29338438
0.037913,0.919771955,0.170932,0.260144,0.0481724,0.29369926
0.0381868,0.926414362,0.164543,0.260192,0.0614648,0.29405672
0.0385213,0.934529355,0.158276,0.26021,0.0724336,0.29445129
0.0389039,0.943811257,0.152142,0.260206,0.0804794,0.29487734
0.039322,0.953954391,0.146149,0.26019,0.0863219,0.29532926
0.0397662,0.964730713,0.140302,0.260166,0.090831,0.29580154
0.0402301,0.975984959,0.134607,0.260136,0.0943538,0.29628887
0.0407089,0.987600679,0.129069,0.260101,0.0969234,0.29678623
0.041198,0.999466279,0.123689,0.260062,0.0985528,0.2972889
0.0416931,1.011477438,0.118472,0.260018,0.0993412,0.29779253
0.0421903,1.023539544,0.113416,0.259971,0.099365,0.29829327
0.0426858,1.035560408,0.108524,0.259921,0.0986866,0.29878755
0.0431762,1.047457545,0.103795,0.259867,0.0973684,0.29927227
0.0436587,1.059163028,0.0992274,0.259812,0.0954963,0.29974469
0.0441306,1.070611354,0.0948212,0.259754,0.0931618,0.30020235
0.0445899,1.081754003,0.0905741,0.259694,0.0904436,0.30064331
0.0450347,1.092544881,0.086484,0.259633,0.0873929,0.30106579
0.0454635,1.102947598,0.0825485,0.25957,0.0840681,0.30146833
0.0458751,1.112933042,0.0787646,0.259505,0.0805216,0.30184971
0.0462685,1.122476953,0.0751292,0.259438,0.076799,0.30220897
0.0466429,1.131559922,0.0716391,0.25937,0.0729055,0.30254526
0.0469974,1.140160116,0.0682908,0.2593,0.0688786,0.30285795
0.0473316,1.148267831,0.0650807,0.259228,0.0647601,0.30314669
0.0476445,1.155858806,0.0620049,0.259156,0.0604099,0.30341116
0.0479348,1.162901504,0.0590598,0.259083,0.0556814,0.30365125
0.0482014,1.169369238,0.0562412,0.259012,0.0508851,0.30386702
0.0484441,1.175257157,0.0535454,0.258943,0.0461679,0.30405867
0.0486633,1.180574964,0.0510211,0.258876,0.0414825,0.30422657
0.0488589,1.185320233,0.0487236,0.258811,0.0367832,0.30437127
0.0490311,1.189497817,0.0466975,0.258748,0.0320794,0.30449347
0.0491798,1.193105289,0.0449777,0.25869,0.0274139,0.30459402
0.0493054,1.196152353,0.0435884,0.258635,0.0228338,0.30467397
0.0494085,1.198653566,0.0425438,0.258585,0.0183946,0.30473453
0.0494898,1.20062591,0.041849,0.258541,0.0141476,0.30477702
0.0495505,1.202098496,0.0414996,0.258502,0.0101443,0.30480292
0.0495919,1.203102863,0.0414822,0.258468,0.00643003,0.30481381
0.0496154,1.203672974,0.0417744,0.258441,0.00304317,0.30481136
0.049623,1.203857351,0.0423461,0.258418,1.20E-05,0.30479729
0.0496162,1.203692382,0.0431613,0.258402,-0.0026451,0.30477337
0.0495972,1.203231441,0.0441809,0.25839,-0.00492403,0.30474133
0.0495676,1.202513343,0.0453639,0.258383,-0.00682861,0.30470287
0.0495295,1.201589034,0.046669,0.258381,-0.00836866,0.30465963
0.0494845,1.200497331,0.0480555,0.258382,-0.00956135,0.30461312
0.0494344,1.199281902,0.0494835,0.258388,-0.0104278,0.30456471
0.0493807,1.197979136,0.0509125,0.258396,-0.0109885,0.30451564
0.0493249,1.196625425,0.0523012,0.258407,-0.0112672,0.30446693
0.0492684,1.195254731,0.0536081,0.25842,-0.0112866,0.30441944
0.0492124,1.193896167,0.0547959,0.258435,-0.0110751,0.30437382
0.0491579,1.192573993,0.0558383,0.25845,-0.0106691,0.30433054
0.0491059,1.19131247,0.0567117,0.258465,-0.0101022,0.30428989
0.049057,1.190126152,0.0573975,0.258479,-0.00940956,0.30425197
0.0490118,1.189029597,0.0578838,0.258492,-0.00862287,0.30421679
0.0489708,1.188034934,0.0581658,0.258504,-0.0077766,0.30418421
0.048934,1.187142164,0.0582458,0.258513,-0.0069031,0.30415402
0.0489017,1.186358564,0.0581301,0.25852,-0.00603093,0.30412594
0.0488736,1.185676856,0.0578327,0.258523,-0.00518564,0.30409969
0.0488497,1.18509704,0.0573709,0.258524,-0.00438867,0.30407497
0.0488296,1.184609413,0.056767,0.258523,-0.00365767,0.30405151
0.048813,1.184206696,0.0560379,0.258518,-0.002997,0.30402908
0.0487995,1.183879185,0.0552058,0.258511,-0.00241184,0.3040075
0.0487887,1.183617176,0.054293,0.258501,-0.0019044,0.30398663
0.0487803,1.183413392,0.0533223,0.25849,-0.00147281,0.3039664
0.0487739,1.183258127,0.0523148,0.258478,-0.00111261,0.30394678
0.0487691,1.183141679,0.0512896,0.258464,-0.000817528,0.30392777
0.0487656,1.183056769,0.0502636,0.258449,-0.00058098,0.30390938
0.0487632,1.182998544,0.0492502,0.258434,-0.000394008,0.30389165
0.0487616,1.182959728,0.0482603,0.258418,-0.000249422,0.3038746
0.0487607,1.182937894,0.0473019,0.258403,-0.000140802,0.30385824
0.0487602,1.182925764,0.0463813,0.258388,-6.52E-05,0.30384253
0.04876,1.182920912,0.0455024,0.258373,-1.90E-05,0.30382743
0.0487599,1.182918486,0.0446686,0.258359,-1.93E-06,0.30381285
0.0487599,1.182918486,0.0438819,0.258344,-1.27E-05,0.3037987
0.0487598,1.18291606,0.0431442,0.258331,-5.13E-05,0.30378487
0.0487593,1.18290393,0.0424573,0.258318,-0.000119664,0.30377122
0.0487585,1.182884522,0.041823,0.258305,-0.000215569,0.30375766
0.0487572,1.182852984,0.041243,0.258293,-0.000337372,0.3037441
0.0487551,1.182802038,0.0407189,0.258281,-0.000481026,0.30373049
0.0487523,1.18273411,0.0402519,0.258271,-0.000642819,0.30371679
0.0487487,1.182646773,0.0398422,0.258261,-0.000815086,0.30370302
0.0487442,1.182537603,0.0394891,0.258252,-0.000991924,0.3036892
